tweet_id,username,text,created_at,location,source,url
1554530057808449541,wayneps3227,"Valuable piece of information that'll play a major role in war devil's demise.
#chainsawman https://t.co/zyq333lCLt",2022-08-02 18:10:22+00:00,,Twitter for Android,https://twitter.com/wayneps3227/status/1554530057808449541
1554528987455655937,RealLifeRyan_,The War Devil And FEAR || CHAINSAWMAN Ch 101 https://t.co/HNfUWNtTsa https://t.co/7BtuDffvuq,2022-08-02 18:06:07+00:00,YouTube ,Twitter Web App,https://twitter.com/RealLifeRyan_/status/1554528987455655937
1554527408304164866,MysticKistune18,"Finally, an actual name for the war devil. Which is fitting actually. In japanese, Yoru means night, Asa means morning. https://t.co/vw8WHxDutN",2022-08-02 17:59:50+00:00,,Twitter for iPad,https://twitter.com/MysticKistune18/status/1554527408304164866
1554525035964006401,Lumagasi__,"Yoru the war devil also wanted to try a new pen
#chainsawman #chainsawman101 #csmディケイドライバー  #チェンソーマン https://t.co/oTphdTNBHf",2022-08-02 17:50:24+00:00,Your Basement (pls let me out),Twitter for iPhone,https://twitter.com/Lumagasi__/status/1554525035964006401
1554523737684426753,NewsChainsaw,"Loved this chapter, the bat devil is back and now we have to worry about Yuko getting turned into a weapon by the war devil. Can't wait for the next chapter and thank you once again to Tatsuki Fujimoto for taking your time and making a good manga. https://t.co/anHagHfm1w",2022-08-02 17:45:15+00:00,,Twitter Web App,https://twitter.com/NewsChainsaw/status/1554523737684426753
1554522102186795013,Todoku4579,that new chapter sheesh🥶 got a name for the war devil as well as some new knowledge about her. next chapter gonna be insane.🥶🥶 https://t.co/fxyl1qMAW6,2022-08-02 17:38:45+00:00,emoji fart street,Twitter Web App,https://twitter.com/Todoku4579/status/1554522102186795013
1554521819570323456,ocampolakan,war devil funny asf breh,2022-08-02 17:37:38+00:00,,Twitter Web App,https://twitter.com/ocampolakan/status/1554521819570323456
1554519777913081856,Sir5000,the War Devil turns me into a weapon and it's just a squeaky hammer,2022-08-02 17:29:31+00:00, Isezaki Ijincho ,Twitter for Android,https://twitter.com/Sir5000/status/1554519777913081856
1554519649366196225,Jamie_is_sleepy,another great chapter of CSM love what Fuji is doing with the war devil and Asa,2022-08-02 17:29:00+00:00,,Twitter Web App,https://twitter.com/Jamie_is_sleepy/status/1554519649366196225
1554518464844468224,shrekfilm,most women just got a war devil within them it seems,2022-08-02 17:24:18+00:00,htx,Twitter for iPhone,https://twitter.com/shrekfilm/status/1554518464844468224
